attraction_id,nama,deskripsi,total_review,total_rating,img,longitude,latitude,link_detail,kota,provinsi
255,Pacific Place Mall,Shopping Malls,261,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/59/52/5c/pacific-place.jpg?w=500&h=-1&s=1,106.8103687,-6.2246324,https://www.tripadvisor.com/Attraction_Review-g294229-d3844482-Reviews-Pacific_Place_Mall-Jakarta_Java.html,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta
256,Sea World,Amusement & Theme Parks • Nature & Wildlife Areas,574,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/b6/c8/14/sea-world.jpg?w=500&h=400&s=1,-81.4597107,28.409718,https://www.tripadvisor.com/Attraction_Review-g294229-d592679-Reviews-Sea_World-Jakarta_Java.html,Orange County,Florida
257,Jakarta MRT,Public Transportation Systems,120,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/42/44/cf/cipete-raya.jpg?w=500&h=400&s=1,106.845599,-6.2087634,https://www.tripadvisor.com/Attraction_Review-g294229-d16850592-Reviews-Jakarta_MRT-Jakarta_Java.html,,Jakarta
258,Wayang Museum,Speciality Museums,546,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/44/f3/ce/caption.jpg?w=500&h=-1&s=1,106.8125823,-6.1348831,https://www.tripadvisor.com/Attraction_Review-g294229-d379325-Reviews-Wayang_Museum-Jakarta_Java.html,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta
259,Fatahillah Square,Points of Interest & Landmarks,584,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/1e/1d/7c/fatahillah-square-jakarta.jpg?w=500&h=-1&s=1,106.8132041,-6.134669,https://www.tripadvisor.com/Attraction_Review-g294229-d379328-Reviews-Fatahillah_Square-Jakarta_Java.html,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta
260,Senayan City,Shopping Malls,252,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3b/ce/9e/senayan-city-is-a-five.jpg?w=500&h=400&s=1,106.797085,-6.2271722,https://www.tripadvisor.com/Attraction_Review-g294229-d3844526-Reviews-Senayan_City-Jakarta_Java.html,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta
261,Kelapa Gading Mall,Shopping Malls,203,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/23/86/fd/the-middle-hall.jpg?w=500&h=-1&s=1,106.9084263,-6.1572666,https://www.tripadvisor.com/Attraction_Review-g294229-d3844489-Reviews-Kelapa_Gading_Mall-Jakarta_Java.html,Jakarta Utara,Daerah Khusus Ibukota Jakarta
262,Taman Suropati,Parks,547,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/2a/37/82/photo5jpg.jpg?w=500&h=-1&s=1,106.8326333,-6.199387,https://www.tripadvisor.com/Attraction_Review-g294229-d2703050-Reviews-Taman_Suropati-Jakarta_Java.html,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta
263,Taman Anggrek Mall,Shopping Malls,319,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/6d/37/58/fresh-fruit-at-carrefour.jpg?w=500&h=400&s=1,106.7922128,-6.1785831,https://www.tripadvisor.com/Attraction_Review-g294229-d3845140-Reviews-Taman_Anggrek_Mall-Jakarta_Java.html,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta
264,Pondok Indah Mall,Shopping Malls,261,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/36/be/51/pondok-indah-mall.jpg?w=500&h=400&s=1,106.7846188,-6.264558999999999,https://www.tripadvisor.com/Attraction_Review-g294229-d3844446-Reviews-Pondok_Indah_Mall-Jakarta_Java.html,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta
